# name,kcal,protein_g,carbs_g,fat_g,fibre_g,sugar_g,salt_g  (per 100 g)
# Offline fallback for ingredients Open Food Facts covers poorly: raw produce,
# meat and store-cupboard basics. Figures are typical raw values from standard
# composition tables and are estimates, not label data.
onion,40,1.1,9.3,0.1,1.7,4.2,0.01
red onion,40,1.1,9.3,0.1,1.7,4.2,0.01
spring onion,32,1.8,7.3,0.2,2.6,2.3,0.04
shallot,72,2.5,16.8,0.1,3.2,7.9,0.03
garlic,149,6.4,33.1,0.5,2.1,1.0,0.04
leek,61,1.5,14.2,0.3,1.8,3.9,0.05
carrot,41,0.9,9.6,0.2,2.8,4.7,0.17
potato,77,2.0,17.5,0.1,2.2,0.8,0.02
sweet potato,86,1.6,20.1,0.1,3.0,4.2,0.14
parsnip,75,1.2,18.0,0.3,4.9,4.8,0.03
tomato,18,0.9,3.9,0.2,1.2,2.6,0.01
cherry tomato,18,0.9,3.9,0.2,1.2,2.6,0.01
chopped tomato,32,1.6,7.3,0.3,1.9,4.4,0.03
passata,35,1.6,7.0,0.2,1.5,5.0,0.05
tomato puree,82,4.3,18.9,0.5,4.1,12.2,0.14
pepper,31,1.0,6.0,0.3,2.1,4.2,0.01
red pepper,31,1.0,6.0,0.3,2.1,4.2,0.01
courgette,17,1.2,3.1,0.3,1.0,2.5,0.02
aubergine,25,1.0,5.9,0.2,3.0,3.5,0.01
mushroom,22,3.1,3.3,0.3,1.0,2.0,0.01
broccoli,34,2.8,6.6,0.4,2.6,1.7,0.08
cauliflower,25,1.9,5.0,0.3,2.0,1.9,0.08
cabbage,25,1.3,5.8,0.1,2.5,3.2,0.05
kale,49,4.3,8.8,0.9,3.6,2.3,0.09
spinach,23,2.9,3.6,0.4,2.2,0.4,0.20
rocket,25,2.6,3.7,0.7,1.6,2.1,0.07
lettuce,15,1.4,2.9,0.2,1.3,0.8,0.03
cucumber,15,0.7,3.6,0.1,0.5,1.7,0.01
celery,16,0.7,3.0,0.2,1.6,1.3,0.20
green bean,31,1.8,7.0,0.1,2.7,3.3,0.02
pea,81,5.4,14.5,0.4,5.1,5.7,0.01
sweetcorn,86,3.3,19.0,1.4,2.0,3.2,0.04
butternut squash,45,1.0,11.7,0.1,2.0,2.2,0.01
pumpkin,26,1.0,6.5,0.1,0.5,2.8,0.00
beetroot,43,1.6,9.6,0.2,2.8,6.8,0.20
asparagus,20,2.2,3.9,0.1,2.1,1.9,0.01
brussels sprout,43,3.4,9.0,0.3,3.8,2.2,0.06
chilli,40,1.9,8.8,0.4,1.5,5.3,0.02
ginger,80,1.8,17.8,0.8,2.0,1.7,0.03
lemon,29,1.1,9.3,0.3,2.8,2.5,0.01
lime,30,0.7,10.5,0.2,2.8,1.7,0.01
orange,47,0.9,11.8,0.1,2.4,9.4,0.00
apple,52,0.3,13.8,0.2,2.4,10.4,0.00
banana,89,1.1,22.8,0.3,2.6,12.2,0.00
avocado,160,2.0,8.5,14.7,6.7,0.7,0.02
strawberry,32,0.7,7.7,0.3,2.0,4.9,0.00
blueberry,57,0.7,14.5,0.3,2.4,10.0,0.00
raspberry,52,1.2,11.9,0.7,6.5,4.4,0.00
mango,60,0.8,15.0,0.4,1.6,13.7,0.00
parsley,36,3.0,6.3,0.8,3.3,0.9,0.14
coriander,23,2.1,3.7,0.5,2.8,0.9,0.11
basil,23,3.2,2.7,0.6,1.6,0.3,0.01
mint,44,3.3,8.4,0.7,6.8,0.0,0.08
thyme,101,5.6,24.5,1.7,14.0,0.0,0.02
rosemary,131,3.3,20.7,5.9,14.1,0.0,0.07
chicken breast,165,31.0,0.0,3.6,0.0,0.0,0.18
chicken thigh,209,26.0,0.0,10.9,0.0,0.0,0.22
chicken,190,27.0,0.0,8.5,0.0,0.0,0.19
beef mince,254,17.2,0.0,20.0,0.0,0.0,0.18
beef steak,217,26.1,0.0,12.7,0.0,0.0,0.14
lamb,294,25.0,0.0,21.0,0.0,0.0,0.18
pork,242,27.3,0.0,14.0,0.0,0.0,0.15
pork mince,263,16.9,0.0,21.2,0.0,0.0,0.16
bacon,541,37.0,1.4,42.0,0.0,0.0,4.20
sausage,301,12.3,9.9,24.0,1.0,1.2,1.90
chorizo,455,24.1,1.9,38.3,0.0,1.1,3.90
ham,145,20.9,1.5,5.5,0.0,1.2,3.20
turkey,157,29.0,0.0,3.6,0.0,0.0,0.16
salmon,208,20.4,0.0,13.4,0.0,0.0,0.14
tuna,132,28.0,0.0,1.3,0.0,0.0,0.09
cod,82,18.0,0.0,0.7,0.0,0.0,0.20
prawn,99,24.0,0.2,0.3,0.0,0.0,0.56
mackerel,205,18.6,0.0,13.9,0.0,0.0,0.15
anchovy,131,20.4,0.0,4.8,0.0,0.0,3.60
egg,143,12.6,0.7,9.5,0.0,0.4,0.35
egg white,52,10.9,0.7,0.2,0.0,0.7,0.42
milk,64,3.4,4.8,3.6,0.0,4.8,0.11
semi skimmed milk,50,3.6,4.8,1.8,0.0,4.8,0.11
double cream,449,1.7,2.7,48.0,0.0,2.7,0.08
single cream,193,2.6,4.1,18.0,0.0,4.1,0.08
creme fraiche,299,2.4,3.0,30.0,0.0,3.0,0.10
soured cream,198,2.4,4.6,19.4,0.0,3.5,0.20
yoghurt,61,3.5,4.7,3.3,0.0,4.7,0.13
greek yoghurt,97,9.0,3.9,5.0,0.0,3.9,0.10
butter,744,0.9,0.6,82.2,0.0,0.6,1.70
cheddar,416,25.4,0.1,34.9,0.0,0.1,1.80
parmesan,431,38.5,0.0,29.7,0.0,0.9,1.60
mozzarella,300,22.2,2.2,22.4,0.0,1.0,1.40
feta,264,14.2,4.1,21.3,0.0,4.1,2.90
cream cheese,342,5.9,4.1,34.0,0.0,3.2,0.70
halloumi,321,22.0,2.0,25.0,0.0,2.0,2.70
plain flour,341,9.4,72.0,1.3,3.1,1.5,0.00
self raising flour,330,8.9,69.0,1.2,3.0,1.4,1.10
wholemeal flour,310,12.6,61.0,2.2,9.0,1.4,0.01
bread,265,9.0,49.0,3.2,2.7,5.0,1.10
wholemeal bread,247,10.7,41.3,3.4,7.0,4.3,1.05
pasta,352,12.5,71.0,1.5,3.2,3.2,0.01
spaghetti,352,12.5,71.0,1.5,3.2,3.2,0.01
rice,356,7.1,79.0,0.6,1.4,0.1,0.00
brown rice,362,7.5,76.0,2.7,3.5,0.7,0.01
basmati rice,356,8.5,78.0,0.9,1.4,0.1,0.00
couscous,376,12.8,77.4,0.6,5.0,0.0,0.03
quinoa,368,14.1,64.2,6.1,7.0,0.0,0.01
bulgur wheat,342,12.3,75.9,1.3,18.3,0.4,0.02
oats,379,13.2,67.7,6.5,10.1,1.0,0.01
noodle,348,11.5,71.0,1.8,3.0,1.5,0.60
tortilla,306,8.0,51.0,7.0,3.0,2.5,1.20
breadcrumb,395,13.4,71.9,5.3,4.5,6.2,1.50
lentil,352,24.6,63.4,1.1,10.7,2.0,0.02
red lentil,358,24.0,60.0,1.5,11.0,2.0,0.01
chickpea,364,19.3,61.0,6.0,17.4,10.7,0.06
kidney bean,333,23.6,60.0,0.8,24.9,2.1,0.06
black bean,341,21.6,62.4,1.4,15.5,2.1,0.01
butter bean,338,21.0,63.4,1.2,16.0,3.0,0.02
baked beans,94,4.8,15.0,0.6,3.7,5.0,1.00
tofu,76,8.1,1.9,4.8,0.3,0.6,0.02
olive oil,884,0.0,0.0,100.0,0.0,0.0,0.00
vegetable oil,884,0.0,0.0,100.0,0.0,0.0,0.00
rapeseed oil,884,0.0,0.0,100.0,0.0,0.0,0.00
sunflower oil,884,0.0,0.0,100.0,0.0,0.0,0.00
sesame oil,884,0.0,0.0,100.0,0.0,0.0,0.00
coconut oil,892,0.0,0.0,99.1,0.0,0.0,0.00
sugar,400,0.0,100.0,0.0,0.0,100.0,0.00
caster sugar,400,0.0,100.0,0.0,0.0,100.0,0.00
brown sugar,380,0.0,98.1,0.0,0.0,97.0,0.03
icing sugar,393,0.0,99.0,0.0,0.0,99.0,0.00
honey,304,0.3,82.4,0.0,0.2,82.1,0.00
maple syrup,260,0.0,67.0,0.1,0.0,60.0,0.03
golden syrup,325,0.3,79.0,0.0,0.0,79.0,0.06
salt,0,0.0,0.0,0.0,0.0,0.0,100.00
black pepper,251,10.4,63.9,3.3,25.3,0.6,0.05
paprika,282,14.1,54.0,12.9,34.9,10.3,0.09
cumin,375,17.8,44.2,22.3,10.5,2.3,0.42
coriander seed,298,12.4,55.0,17.8,41.9,0.0,0.09
turmeric,354,7.8,64.9,9.9,21.1,3.2,0.09
cinnamon,247,4.0,80.6,1.2,53.1,2.2,0.06
curry powder,325,14.3,55.8,14.0,53.2,2.8,0.13
chilli powder,282,13.5,49.7,14.3,34.8,7.2,4.50
oregano,265,9.0,68.9,4.3,42.5,4.1,0.06
bay leaf,313,7.6,75.0,8.4,26.3,0.0,0.06
stock cube,240,12.0,20.0,12.0,1.0,4.0,20.00
chicken stock,7,0.5,0.6,0.2,0.0,0.3,0.90
vegetable stock,7,0.3,1.0,0.1,0.0,0.4,0.90
soy sauce,53,8.1,4.9,0.6,0.8,0.4,14.50
fish sauce,35,5.1,3.6,0.0,0.0,3.6,20.00
worcestershire sauce,78,0.0,19.5,0.0,0.0,17.0,2.50
balsamic vinegar,88,0.5,17.0,0.0,0.0,15.0,0.06
white wine vinegar,18,0.0,0.4,0.0,0.0,0.4,0.01
red wine vinegar,19,0.0,0.3,0.0,0.0,0.3,0.02
mustard,66,4.4,5.8,3.3,3.3,2.9,4.90
dijon mustard,66,4.4,5.8,3.3,3.3,2.9,4.90
mayonnaise,680,1.0,1.3,75.0,0.0,1.3,1.20
ketchup,102,1.0,25.8,0.1,0.3,21.8,2.50
coconut milk,197,2.0,2.8,21.3,0.0,2.8,0.04
peanut butter,588,25.1,20.0,50.4,6.0,9.2,0.44
almond,579,21.2,21.6,49.9,12.5,4.4,0.00
walnut,654,15.2,13.7,65.2,6.7,2.6,0.00
cashew,553,18.2,30.2,43.9,3.3,5.9,0.03
pine nut,673,13.7,13.1,68.4,3.7,3.6,0.00
sesame seed,573,17.7,23.4,49.7,11.8,0.3,0.03
dark chocolate,546,4.9,61.2,31.3,7.0,47.9,0.05
cocoa powder,228,19.6,57.9,13.7,33.2,1.8,0.05
raisin,299,3.1,79.2,0.5,3.7,59.2,0.03
date,282,2.5,75.0,0.4,8.0,63.4,0.01
white wine,82,0.1,2.6,0.0,0.0,1.0,0.01
red wine,85,0.1,2.6,0.0,0.0,0.6,0.01
